"package","installed","version"
"AnnotationDbi",TRUE,"1.72.0"
"Biobase",TRUE,"2.68.0"
"BiocParallel",TRUE,"1.42.2"
"BiocSingular",TRUE,"1.26.1"
"bluster",TRUE,"1.20.0"
"clusterProfiler",TRUE,"4.18.4"
"data.table",TRUE,"1.18.2.1"
"digest",TRUE,"0.6.39"
"edgeR",TRUE,"4.8.2"
"enrichplot",TRUE,"1.30.5"
"GEOquery",TRUE,"2.78.0"
"ggplot2",TRUE,"4.0.3"
"glmnet",TRUE,"4.1.10"
"hgu133plus2.db",TRUE,"3.13.0"
"jsonlite",TRUE,"2.0.0"
"limma",TRUE,"3.66.0"
"Matrix",TRUE,"1.7.5"
"org.Hs.eg.db",TRUE,"3.22.0"
"pheatmap",TRUE,"1.0.13"
"pROC",TRUE,"1.19.0.1"
"randomForest",TRUE,"4.7.1.2"
"readxl",TRUE,"1.5.0"
"rhdf5",TRUE,"2.54.1"
"S4Vectors",TRUE,"0.48.0"
"scater",TRUE,"1.38.1"
"scDblFinder",TRUE,"1.24.10"
"scran",TRUE,"1.38.1"
"scuttle",TRUE,"1.20.0"
"SingleCellExperiment",TRUE,"1.32.0"
"SingleR",TRUE,"2.12.0"
"SummarizedExperiment",TRUE,"1.40.0"
"survival",TRUE,"3.8.6"
"survminer",TRUE,"0.5.2"
"timeROC",TRUE,"0.4"
"uwot",TRUE,"0.2.4"
"WGCNA",TRUE,"1.74"
"yaml",TRUE,"2.3.12"
