"stage","status","source","started_at","completed_at","seconds","details"
"preflight","completed","computed","2026-07-29 04:30:14.827972","2026-07-29 04:30:16.156205",1.32823300361633,""
"bulk_training","completed","computed","2026-07-29 04:30:16.233332","2026-07-29 04:30:24.550126",8.3167941570282,""
"differential","completed","computed","2026-07-29 04:30:25.071904","2026-07-29 04:30:27.666914",2.59501004219055,""
"shared","completed","computed","2026-07-29 04:30:27.785335","2026-07-29 04:30:27.814948",0.0296130180358887,""
"enrichment","completed","computed","2026-07-29 04:30:28.771007","2026-07-29 04:34:56.335175",267.564167976379,""
"wgcna","completed","computed","2026-07-29 04:34:58.022531","2026-07-29 04:36:33.292378",95.2698469161987,""
"machine_learning","completed","computed","2026-07-29 04:36:33.312363","2026-07-29 04:36:33.569037",0.25667405128479,""
"bulk_validation","completed","computed","2026-07-29 04:36:33.680894","2026-07-29 04:36:37.642116",3.96122217178345,""
"validation","completed","computed","2026-07-29 04:36:38.153407","2026-07-29 04:36:38.856187",0.70278000831604,""
"immune","completed","computed","2026-07-29 04:36:38.864312","2026-07-29 04:36:40.408065",1.54375314712524,""
"tcga","completed","computed","2026-07-29 04:36:40.413865","2026-07-29 04:36:42.37144",1.95757484436035,""
"regulatory","completed","computed","2026-07-29 04:36:42.386483","2026-07-29 04:37:13.403722",31.0172390937805,""
"drug","completed","computed","2026-07-29 04:37:13.433399","2026-07-29 04:37:22.139964",8.70656514167786,""
"mr","skipped","config","2026-07-29 04:37:22.156228","2026-07-29 04:37:22.15634",0,"disabled"
"single_cell","completed","computed","2026-07-29 04:37:22.158416","2026-07-29 04:40:25.205072",183.046655893326,""
"single_cell_downstream","completed","computed","2026-07-29 04:40:25.213668","2026-07-29 04:52:23.278409",718.064740896225,""
"report","completed","computed","2026-07-29 04:52:23.282756","2026-07-29 04:52:23.48695",0.204193830490112,""
